"","DNP","Plot","Rep","Depth","Trt","Label","RockWt","RootWt","Notes"
"142",143,14,"B",0,"CTL","Bulk",NA,0.09,"saved wood"
"143",144,6,"A",10,"NR",NA,NA,NA,NA
"144",145,6,"A",7.5,"NR","Wood",NA,0.03,""
"145",146,6,"A",5,"NR",NA,NA,NA,NA
"146",147,6,"A",0,"NR",NA,NA,NA,NA
"147",148,69,"A",7.5,"NI",NA,NA,NA,NA
"148",149,69,"A",5,"NI",NA,NA,NA,NA
"149",150,69,"A",2.5,"NI",NA,NA,NA,NA
"150",151,69,"A",0,"NI",NA,NA,NA,NA
"151",152,49,"B",10,"NI",NA,NA,NA,NA
"152",153,49,"B",7.5,"NI",NA,NA,NA,NA
"153",154,49,"B",5,"NI","Root+wood",NA,0.477,""
"154",155,49,"B",2.5,"NI","Roots",NA,0.32,""
"155",156,49,"B",0,"NI","wood",NA,0,"root weight cannot be detected by scale- too small"
"156",157,49,"A",10,"NI",NA,NA,NA,NA
"157",158,49,"A",7.5,"NI",NA,NA,NA,NA
"158",159,49,"A",5,"NI",NA,NA,NA,NA
