JAR,AMENDMENT,TRT,DAY,HOUR,X12C,X13C
117,CELLULOSE,NI,11,259,175.6195411,1.66731097
133,OXALATE,NI,11,259,192.4573552,14.47421702
134,OXALATE,NI,11,259,186.9805335,13.70298796
135,OXALATE,NI,11,259,185.7225423,12.86835097
142,PHENOL,NI,11,259,207.6914492,4.403978134
143,PHENOL,NI,11,259,194.9540632,4.275031587
144,PHENOL,NI,11,259,154.2273013,3.600308292
151,CELLULOSE,NR,11,259,269.6275699,2.425929885
152,CELLULOSE,NR,11,259,267.695175,2.323132221
153,CELLULOSE,NR,11,259,238.8584034,1.885768364
169,OXALATE,NR,11,259,285.9432877,14.32289212
170,OXALATE,NR,11,259,335.7853022,15.13860707
171,OXALATE,NR,11,259,312.6120599,14.25482212
178,PHENOL,NR,11,259,261.5493957,3.769092353
179,PHENOL,NR,11,259,242.5416566,3.562463126
180,PHENOL,NR,11,259,234.4797087,3.459197952
7,CELLULOSE,CTL,12,280,254.89595,1.076494342
8,CELLULOSE,CTL,12,280,309.9301057,1.070484268
9,CELLULOSE,CTL,12,280,246.6484223,0.775273615
25,OXALATE,CTL,12,280,292.5119629,15.07333895
26,OXALATE,CTL,12,280,305.6192245,12.48387903
27,OXALATE,CTL,12,280,277.1780701,11.37234437
34,PHENOL,CTL,12,280,284.0337437,3.544447334
35,PHENOL,CTL,12,280,259.1146605,3.596190942
36,PHENOL,CTL,12,280,310.6749846,3.843203164
43,CELLULOSE,DW,12,280,383.2228838,0.793893587
44,CELLULOSE,DW,12,280,326.540734,1.292367449
45,CELLULOSE,DW,12,280,405.7636128,0.791932047
61,OXALATE,DW,12,280,416.9242371,14.39234062
62,OXALATE,DW,12,280,437.856905,15.54853675
63,OXALATE,DW,12,280,442.9068952,13.40781439
70,PHENOL,DW,12,280,403.6384725,6.229243187
71,PHENOL,DW,12,280,455.3982467,6.03209493
72,PHENOL,DW,12,280,432.7111071,5.959700105
79,CELLULOSE,DL,12,280,,
80,CELLULOSE,DL,12,280,311.2464813,1.056121908
81,CELLULOSE,DL,12,280,348.9694533,1.476408453
97,OXALATE,DL,12,280,341.8992581,13.02928858
98,OXALATE,DL,12,280,,
99,OXALATE,DL,12,280,375.5924377,12.08707461
